"intercept","min_phred","min_length","count_sd","aligner_kallisto","aligner_salmon","aligner_STAR","trim_poly_g_X1","trim_poly_x_X1","min_phred_x_min_length","min_phred_x_aligner_kallisto","min_phred_x_aligner_salmon","min_phred_x_aligner_STAR","min_phred_x_trim_poly_g_X1","min_phred_x_trim_poly_x_X1","min_length_x_aligner_kallisto","min_length_x_aligner_salmon","min_length_x_aligner_STAR","min_length_x_trim_poly_g_X1","min_length_x_trim_poly_x_X1","aligner_kallisto_x_trim_poly_g_X1","aligner_kallisto_x_trim_poly_x_X1","aligner_salmon_x_trim_poly_g_X1","aligner_salmon_x_trim_poly_x_X1","aligner_STAR_x_trim_poly_g_X1","aligner_STAR_x_trim_poly_x_X1","trim_poly_g_X1_x_trim_poly_x_X1"
1,24,39,2316.14168333884,0,1,0,0,0,936,0,24,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
1,23,49,2226.86126937902,1,0,0,1,1,1127,23,0,0,23,23,49,0,0,49,49,1,1,0,0,0,0,1
1,28,32,2225.52127120442,1,0,0,0,0,896,28,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
1,20,42,2230.20696600058,1,0,0,1,1,840,20,0,0,20,20,42,0,0,42,42,1,1,0,0,0,0,1
1,23,50,2226.86126937902,1,0,0,1,1,1150,23,0,0,23,23,50,0,0,50,50,1,1,0,0,0,0,1
1,21,36,2234.68590517241,1,0,0,0,0,756,21,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
1,27,34,2232.37293848153,1,0,0,0,1,918,27,0,0,0,27,34,0,0,0,34,0,1,0,0,0,0,0
1,25,38,2232.35359203214,1,0,0,0,1,950,25,0,0,0,25,38,0,0,0,38,0,1,0,0,0,0,0
1,26,35,2233.77991054778,1,0,0,0,0,910,26,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
1,22,33,2234.61623916389,1,0,0,1,0,726,22,0,0,22,0,33,0,0,33,0,1,0,0,0,0,0,0
1,20,40,2317.07324371641,0,1,0,1,0,800,0,20,0,20,0,0,40,0,40,0,0,0,1,0,0,0,0
1,28,46,2301.55935267173,0,1,0,1,1,1288,0,28,0,28,28,0,46,0,46,46,0,0,1,1,0,0,1
1,28,30,2307.40168792397,0,1,0,0,1,840,0,28,0,0,28,0,30,0,0,30,0,0,0,1,0,0,0
1,27,44,2315.29403608015,0,1,0,1,0,1188,0,27,0,27,0,0,44,0,44,0,0,0,1,0,0,0,0
1,23,36,2233.78314654994,1,0,0,0,0,828,23,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
1,29,31,2307.29663481702,0,1,0,1,0,899,0,29,0,29,0,0,31,0,31,0,0,0,1,0,0,0,0
1,23,46,2313.14794453865,0,1,0,1,0,1058,0,23,0,23,0,0,46,0,46,0,0,0,1,0,0,0,0
1,23,37,2232.40715103115,1,0,0,1,1,851,23,0,0,23,23,37,0,0,37,37,1,1,0,0,0,0,1
1,22,40,2232.6474873682,1,0,0,1,1,880,22,0,0,22,22,40,0,0,40,40,1,1,0,0,0,0,1
1,24,31,2233.69307882906,1,0,0,0,0,744,24,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
1,21,44,2233.89084483224,1,0,0,1,0,924,21,0,0,21,0,44,0,0,44,0,1,0,0,0,0,0,0
1,26,50,2310.29041167826,0,1,0,1,1,1300,0,26,0,26,26,0,50,0,50,50,0,0,1,1,0,0,1
1,20,43,2316.54677151322,0,1,0,0,0,860,0,20,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
1,23,45,2228.60544791002,1,0,0,0,1,1035,23,0,0,0,23,45,0,0,0,45,0,1,0,0,0,0,0
1,25,49,2310.29229633921,0,1,0,1,1,1225,0,25,0,25,25,0,49,0,49,49,0,0,1,1,0,0,1
1,28,33,2225.54274243555,1,0,0,1,0,924,28,0,0,28,0,33,0,0,33,0,1,0,0,0,0,0,0
1,24,40,2231.74830858809,1,0,0,1,1,960,24,0,0,24,24,40,0,0,40,40,1,1,0,0,0,0,1
1,28,30,2224.18103103536,1,0,0,1,1,840,28,0,0,28,28,30,0,0,30,30,1,1,0,0,0,0,1
1,30,47,2301.5589553797,0,1,0,0,1,1410,0,30,0,0,30,0,47,0,0,47,0,0,0,1,0,0,0
1,30,45,2303.4662490485,0,1,0,1,1,1350,0,30,0,30,30,0,45,0,45,45,0,0,1,1,0,0,1
1,29,47,2304.39784755825,0,1,0,1,0,1363,0,29,0,29,0,0,47,0,47,0,0,0,1,0,0,0,0
1,23,45,2312.21396403369,0,1,0,0,1,1035,0,23,0,0,23,0,45,0,0,45,0,0,0,1,0,0,0
1,26,48,2310.29534604959,0,1,0,1,1,1248,0,26,0,26,26,0,48,0,48,48,0,0,1,1,0,0,1
1,20,31,2233.24321963597,1,0,0,0,1,620,20,0,0,0,20,31,0,0,0,31,0,1,0,0,0,0,0
1,26,47,2226.86126937902,1,0,0,1,1,1222,26,0,0,26,26,47,0,0,47,47,1,1,0,0,0,0,1
1,27,40,2316.10228279515,0,1,0,1,0,1080,0,27,0,27,0,0,40,0,40,0,0,0,1,0,0,0,0
1,25,48,2310.29209523385,0,1,0,0,1,1200,0,25,0,0,25,0,48,0,0,48,0,0,0,1,0,0,0
1,23,33,2316.16175529876,0,1,0,1,1,759,0,23,0,23,23,0,33,0,33,33,0,0,1,1,0,0,1
1,22,45,2229.50294462169,1,0,0,1,1,990,22,0,0,22,22,45,0,0,45,45,1,1,0,0,0,0,1
1,23,48,2226.86126937902,1,0,0,1,1,1104,23,0,0,23,23,48,0,0,48,48,1,1,0,0,0,0,1
1,30,37,2224.25064145458,1,0,0,1,1,1110,30,0,0,30,30,37,0,0,37,37,1,1,0,0,0,0,1
1,22,35,2233.28376646279,1,0,0,1,1,770,22,0,0,22,22,35,0,0,35,35,1,1,0,0,0,0,1
1,27,35,2233.77991054778,1,0,0,0,0,945,27,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
1,27,43,2228.86934037914,1,0,0,0,1,1161,27,0,0,0,27,43,0,0,0,43,0,1,0,0,0,0,0
1,24,48,2226.86126937902,1,0,0,0,1,1152,24,0,0,0,24,48,0,0,0,48,0,1,0,0,0,0,0
1,24,46,2310.29411408639,0,1,0,0,1,1104,0,24,0,0,24,0,46,0,0,46,0,0,0,1,0,0,0
1,20,31,2317.13847837419,0,1,0,0,1,620,0,20,0,0,20,0,31,0,0,31,0,0,0,1,0,0,0
1,25,44,2228.8048970086,1,0,0,1,1,1100,25,0,0,25,25,44,0,0,44,44,1,1,0,0,0,0,1
1,26,45,2315.29772345135,0,1,0,0,0,1170,0,26,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
1,21,46,2231.94586525968,1,0,0,1,0,966,21,0,0,21,0,46,0,0,46,0,1,0,0,0,0,0,0
1,24,33,2316.15715556666,0,1,0,0,1,792,0,24,0,0,24,0,33,0,0,33,0,0,0,1,0,0,0
1,28,50,2218.7359559411,1,0,0,1,1,1400,28,0,0,28,28,50,0,0,50,50,1,1,0,0,0,0,1
1,27,34,2232.37293848153,1,0,0,0,1,918,27,0,0,0,27,34,0,0,0,34,0,1,0,0,0,0,0
1,21,30,2317.03888776852,0,1,0,1,0,630,0,21,0,21,0,0,30,0,30,0,0,0,1,0,0,0,0
1,25,38,2316.15804879733,0,1,0,0,0,950,0,25,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
1,22,50,2311.2583769177,0,1,0,0,1,1100,0,22,0,0,22,0,50,0,0,50,0,0,0,1,0,0,0
1,28,45,2303.46588074537,0,1,0,0,1,1260,0,28,0,0,28,0,45,0,0,45,0,0,0,1,0,0,0
1,29,33,2307.31319325019,0,1,0,1,0,957,0,29,0,29,0,0,33,0,33,0,0,0,1,0,0,0,0
1,30,35,2224.22554780824,1,0,0,1,1,1050,30,0,0,30,30,35,0,0,35,35,1,1,0,0,0,0,1
1,22,42,2230.20696600058,1,0,0,0,1,924,22,0,0,0,22,42,0,0,0,42,0,1,0,0,0,0,0
1,28,43,2220.73159692412,1,0,0,1,1,1204,28,0,0,28,28,43,0,0,43,43,1,1,0,0,0,0,1
1,23,47,2310.29354290744,0,1,0,1,1,1081,0,23,0,23,23,0,47,0,47,47,0,0,1,1,0,0,1
1,23,42,2229.30914088483,1,0,0,0,1,966,23,0,0,0,23,42,0,0,0,42,0,1,0,0,0,0,0
1,21,44,2233.89084483224,1,0,0,1,0,924,21,0,0,21,0,44,0,0,44,0,1,0,0,0,0,0,0
1,30,41,2225.41242309272,1,0,0,1,0,1230,30,0,0,30,0,41,0,0,41,0,1,0,0,0,0,0,0
1,30,42,2225.27838302254,1,0,0,1,0,1260,30,0,0,30,0,42,0,0,42,0,1,0,0,0,0,0,0
1,24,41,2314.20180765908,0,1,0,1,1,984,0,24,0,24,24,0,41,0,41,41,0,0,1,1,0,0,1
1,25,35,2233.77991054778,1,0,0,0,0,875,25,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
1,29,44,2225.05966136124,1,0,0,0,0,1276,29,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
1,21,30,2233.24257904921,1,0,0,1,1,630,21,0,0,21,21,30,0,0,30,30,1,1,0,0,0,0,1
1,27,47,2310.29064790207,0,1,0,1,1,1269,0,27,0,27,27,0,47,0,47,47,0,0,1,1,0,0,1
1,27,38,2316.15620084533,0,1,0,1,0,1026,0,27,0,27,0,0,38,0,38,0,0,0,1,0,0,0,0
1,28,47,2222.89519356812,1,0,0,1,0,1316,28,0,0,28,0,47,0,0,47,0,1,0,0,0,0,0,0
1,29,36,2307.35916609623,0,1,0,1,0,1044,0,29,0,29,0,0,36,0,36,0,0,0,1,0,0,0,0
1,21,36,2317.09652647314,0,1,0,0,0,756,0,21,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
1,27,30,2316.16923709897,0,1,0,0,1,810,0,27,0,0,27,0,30,0,0,30,0,0,0,1,0,0,0
1,22,40,2316.48729182135,0,1,0,1,1,880,0,22,0,22,22,0,40,0,40,40,0,0,1,1,0,0,1
1,26,40,2315.51869108357,0,1,0,1,1,1040,0,26,0,26,26,0,40,0,40,40,0,0,1,1,0,0,1
1,27,39,2233.81586123254,1,0,0,1,0,1053,27,0,0,27,0,39,0,0,39,0,1,0,0,0,0,0,0
1,26,48,2313.38303252482,0,1,0,0,0,1248,0,26,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
1,29,48,2301.55863489084,0,1,0,0,1,1392,0,29,0,0,29,0,48,0,0,48,0,0,0,1,0,0,0
1,29,37,2225.68716673628,1,0,0,0,0,1073,29,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
1,23,49,2231.04467193817,1,0,0,1,0,1127,23,0,0,23,0,49,0,0,49,0,1,0,0,0,0,0,0
1,25,30,2316.07169908782,0,1,0,0,0,750,0,25,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
1,25,48,2310.29396085616,0,1,0,0,1,1200,0,25,0,0,25,0,48,0,0,48,0,0,0,1,0,0,0
1,24,33,2232.33971662254,1,0,0,0,1,792,24,0,0,0,24,33,0,0,0,33,0,1,0,0,0,0,0
1,26,35,2233.77812976188,1,0,0,1,0,910,26,0,0,26,0,35,0,0,35,0,1,0,0,0,0,0,0
1,26,41,2314.20115736513,0,1,0,0,1,1066,0,26,0,0,26,0,41,0,0,41,0,0,0,1,0,0,0
1,22,38,2234.74043111385,1,0,0,0,0,836,22,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
1,22,34,2234.66351884358,1,0,0,0,0,748,22,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
1,29,36,2224.21602550124,1,0,0,1,1,1044,29,0,0,29,29,36,0,0,36,36,1,1,0,0,0,0,1
1,27,40,2315.51791343144,0,1,0,0,1,1080,0,27,0,0,27,0,40,0,0,40,0,0,0,1,0,0,0
1,26,32,2232.33305866311,1,0,0,0,1,832,26,0,0,0,26,32,0,0,0,32,0,1,0,0,0,0,0
1,26,37,2233.85443782931,1,0,0,0,0,962,26,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
1,21,46,2314.34852517648,0,1,0,0,0,966,0,21,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
1,26,37,2316.18395601866,0,1,0,1,1,962,0,26,0,26,26,0,37,0,37,37,0,0,1,1,0,0,1
1,24,34,2316.11009536433,0,1,0,1,0,816,0,24,0,24,0,0,34,0,34,0,0,0,1,0,0,0,0
1,24,49,2310.29446073755,0,1,0,0,1,1176,0,24,0,0,24,0,49,0,0,49,0,0,0,1,0,0,0
1,21,49,2314.12454243672,0,1,0,1,0,1029,0,21,0,21,0,0,49,0,49,0,0,0,1,0,0,0,0
1,30,47,2301.55253784902,0,1,0,0,1,1410,0,30,0,0,30,0,47,0,0,47,0,0,0,1,0,0,0
1,26,34,2316.17828313663,0,1,0,1,1,884,0,26,0,26,26,0,34,0,34,34,0,0,1,1,0,0,1
1,20,35,3412.2814840919,0,0,1,0,0,700,0,0,20,0,0,0,0,35,0,0,0,0,0,0,0,0,0
1,20,36,3412.14199594833,0,0,1,0,0,720,0,0,20,0,0,0,0,36,0,0,0,0,0,0,0,0,0
1,20,36,3412.26838395165,0,0,1,1,1,720,0,0,20,20,20,0,0,36,36,36,0,0,0,0,1,1,1
1,20,42,3405.1100447425,0,0,1,0,1,840,0,0,20,0,20,0,0,42,0,42,0,0,0,0,0,1,0
1,20,42,3408.74707431817,0,0,1,1,0,840,0,0,20,20,0,0,0,42,42,0,0,0,0,0,1,0,0
1,20,43,3407.78969169032,0,0,1,1,0,860,0,0,20,20,0,0,0,43,43,0,0,0,0,0,1,0,0
1,20,44,3407.34219006297,0,0,1,0,0,880,0,0,20,0,0,0,0,44,0,0,0,0,0,0,0,0,0
1,20,44,3403.3373733181,0,0,1,1,1,880,0,0,20,20,20,0,0,44,44,44,0,0,0,0,1,1,1
1,20,45,3406.2831938217,0,0,1,1,0,900,0,0,20,20,0,0,0,45,45,0,0,0,0,0,1,0,0
1,20,48,3400.04172600806,0,0,1,0,1,960,0,0,20,0,20,0,0,48,0,48,0,0,0,0,0,1,0
1,20,49,3400.04172600806,0,0,1,1,1,980,0,0,20,20,20,0,0,49,49,49,0,0,0,0,1,1,1
1,20,50,3400.04172600806,0,0,1,0,1,1000,0,0,20,0,20,0,0,50,0,50,0,0,0,0,0,1,0
1,21,31,3413.71789236175,0,0,1,0,1,651,0,0,21,0,21,0,0,31,0,31,0,0,0,0,0,1,0
1,21,31,3413.53994043027,0,0,1,1,0,651,0,0,21,21,0,0,0,31,31,0,0,0,0,0,1,0,0
1,21,36,3412.26883748593,0,0,1,0,1,756,0,0,21,0,21,0,0,36,0,36,0,0,0,0,0,1,0
1,21,49,3404.04443917982,0,0,1,0,0,1029,0,0,21,0,0,0,0,49,0,0,0,0,0,0,0,0,0
1,21,50,3400.04172600806,0,0,1,1,1,1050,0,0,21,21,21,0,0,50,50,50,0,0,0,0,1,1,1
1,22,32,3413.50996066623,0,0,1,0,1,704,0,0,22,0,22,0,0,32,0,32,0,0,0,0,0,1,0
1,22,36,3412.15123115252,0,0,1,1,0,792,0,0,22,22,0,0,0,36,36,0,0,0,0,0,1,0,0
1,22,40,3411.2315546514,0,0,1,0,0,880,0,0,22,0,0,0,0,40,0,0,0,0,0,0,0,0,0
1,22,42,3408.74707431817,0,0,1,1,0,924,0,0,22,22,0,0,0,42,42,0,0,0,0,0,1,0,0
1,22,43,3408.09593383886,0,0,1,0,0,946,0,0,22,0,0,0,0,43,0,0,0,0,0,0,0,0,0
1,22,43,3404.09184965822,0,0,1,0,1,946,0,0,22,0,22,0,0,43,0,43,0,0,0,0,0,1,0
1,22,43,3404.09184965822,0,0,1,1,1,946,0,0,22,22,22,0,0,43,43,43,0,0,0,0,1,1,1
1,22,46,3400.04172600806,0,0,1,1,1,1012,0,0,22,22,22,0,0,46,46,46,0,0,0,0,1,1,1
1,22,49,3400.04172600806,0,0,1,0,1,1078,0,0,22,0,22,0,0,49,0,49,0,0,0,0,0,1,0
1,22,50,3404.04443917982,0,0,1,0,0,1100,0,0,22,0,0,0,0,50,0,0,0,0,0,0,0,0,0
1,23,30,3412.73306971817,0,0,1,1,0,690,0,0,23,23,0,0,0,30,30,0,0,0,0,0,1,0,0
1,23,31,3412.37473290975,0,0,1,1,1,713,0,0,23,23,23,0,0,31,31,31,0,0,0,0,1,1,1
1,23,32,3412.16691508028,0,0,1,1,1,736,0,0,23,23,23,0,0,32,32,32,0,0,0,0,1,1,1
1,23,35,3411.08234349193,0,0,1,0,1,805,0,0,23,0,23,0,0,35,0,35,0,0,0,0,0,1,0
1,23,39,3409.91348368012,0,0,1,1,1,897,0,0,23,23,23,0,0,39,39,39,0,0,0,0,1,1,1
1,23,40,3409.88945808095,0,0,1,0,0,920,0,0,23,0,0,0,0,40,0,0,0,0,0,0,0,0,0
1,24,34,3411.46079664052,0,0,1,0,1,816,0,0,24,0,24,0,0,34,0,34,0,0,0,0,0,1,0
1,24,38,3410.260970062,0,0,1,0,0,912,0,0,24,0,0,0,0,38,0,0,0,0,0,0,0,0,0
1,24,40,3409.88945808095,0,0,1,0,0,960,0,0,24,0,0,0,0,40,0,0,0,0,0,0,0,0,0
1,24,41,3407.75197667913,0,0,1,1,0,984,0,0,24,24,0,0,0,41,41,0,0,0,0,0,1,0,0
1,24,45,3401.24888124222,0,0,1,1,1,1080,0,0,24,24,24,0,0,45,45,45,0,0,0,0,1,1,1
1,24,48,3398.70575834095,0,0,1,1,1,1152,0,0,24,24,24,0,0,48,48,48,0,0,0,0,1,1,1
1,24,49,3402.40025571172,0,0,1,1,0,1176,0,0,24,24,0,0,0,49,49,0,0,0,0,0,1,0,0
1,25,31,3412.19704703239,0,0,1,1,0,775,0,0,25,25,0,0,0,31,31,0,0,0,0,0,1,0,0
1,25,33,3412.0558976955,0,0,1,1,1,825,0,0,25,25,25,0,0,33,33,33,0,0,0,0,1,1,1
1,25,37,3410.74241150153,0,0,1,0,0,925,0,0,25,0,0,0,0,37,0,0,0,0,0,0,0,0,0
