count_sd,aligner,min_phred,min_length,trim_poly_g,trim_poly_x
3448.9559574598884,STAR,20,35,0,0
3448.814596145323,STAR,20,36,0,0
3448.9471076638224,STAR,20,36,1,1
3441.698751322361,STAR,20,42,0,1
3445.375479682896,STAR,20,42,1,0
3444.407337867589,STAR,20,43,1,0
3443.9536903395274,STAR,20,44,0,0
3439.9050010013257,STAR,20,44,1,1
3442.882597706365,STAR,20,45,1,0
3436.568503027561,STAR,20,48,0,1
3436.568503027561,STAR,20,49,1,1
3436.568503027561,STAR,20,50,0,1
3450.416116661712,STAR,21,31,0,1
3450.231453273988,STAR,21,31,1,0
3448.947567361985,STAR,21,36,0,1
3440.6150633445136,STAR,21,49,0,0
3436.568503027561,STAR,21,50,1,1
3450.205387762146,STAR,22,32,0,1
3448.8239700181607,STAR,22,36,1,0
3447.891942136808,STAR,22,40,0,0
3445.375479682896,STAR,22,42,1,0
3444.7175742721183,STAR,22,43,0,0
3440.6696277292667,STAR,22,43,0,1
3440.6696277292667,STAR,22,43,1,1
3436.568503027561,STAR,22,46,1,1
3436.568503027561,STAR,22,49,0,1
3440.6150633445136,STAR,22,50,0,0
3449.416068876309,STAR,23,30,1,0
3449.057167163061,STAR,23,31,1,1
3448.846553597264,STAR,23,32,1,1
3447.7473593527293,STAR,23,35,0,1
3446.564056107786,STAR,23,39,1,1
3446.534068363103,STAR,23,40,0,0
3448.1309199309376,STAR,24,34,0,1
3446.9105210368475,STAR,24,38,0,0
3446.534068363103,STAR,24,40,0,0
3444.3677819376535,STAR,24,41,1,0
3437.7927149597967,STAR,24,45,1,1
3435.2168391698256,STAR,24,48,1,1
3438.951162744905,STAR,24,49,1,0
3448.872772752252,STAR,25,31,1,0
3448.7340421624085,STAR,25,33,1,1
3447.398488525909,STAR,25,37,0,0
3435.2168391698256,STAR,25,46,1,1
3435.2168391698256,STAR,25,48,1,1
3447.972788318327,STAR,26,34,0,0
3446.564413559455,STAR,26,39,0,1
3446.6328297053365,STAR,26,39,1,0
3444.3677819376535,STAR,26,41,1,0
3444.019165311049,STAR,26,42,1,0
3439.3158898318184,STAR,26,43,0,1
3443.05151098461,STAR,26,43,1,0
3438.5517862933693,STAR,26,44,1,1
3439.260498329248,STAR,26,46,0,0
3435.2168391698256,STAR,26,46,0,1
3438.951162744905,STAR,26,46,1,0
3435.2168391698256,STAR,26,47,0,1
3439.260498329248,STAR,26,48,0,0
3435.2168391698256,STAR,26,50,0,1
3449.6115289949116,STAR,27,30,1,1
3448.662430944178,STAR,27,32,0,0
3447.5899927586534,STAR,27,36,0,1
3447.5895335695363,STAR,27,36,1,1
3447.398488525909,STAR,27,37,0,0
3446.9105210368475,STAR,27,38,0,0
3446.627983421263,STAR,27,39,0,0
3442.1627387673034,STAR,27,41,1,1
3444.328706561409,STAR,27,42,0,0
3440.344428255285,STAR,27,42,0,1
3444.019165311049,STAR,27,42,1,0
3443.360938487854,STAR,27,43,0,0
3439.3158898318184,STAR,27,43,1,1
3439.260498329248,STAR,27,49,0,0
3438.2892635969565,STAR,28,33,0,1
3438.288728578515,STAR,28,33,1,1
3437.6881877037627,STAR,28,34,1,1
3436.9676841893174,STAR,28,37,1,0
3436.4812018984107,STAR,28,38,1,0
3436.0715118796365,STAR,28,40,1,0
3435.4306213022596,STAR,28,40,1,1
3428.1517566377483,STAR,28,44,1,1
3424.8305354645113,STAR,28,48,1,1
3424.8305354645113,STAR,28,50,1,1
3438.2892635969565,STAR,29,33,0,1
3436.9676841893174,STAR,29,37,1,0
3436.4812018984107,STAR,29,38,1,0
3436.0971993514463,STAR,29,40,0,0
3432.17787620486,STAR,29,44,0,0
3428.546632802336,STAR,29,47,1,0
3428.854519329509,STAR,29,50,0,0
3428.546632802336,STAR,29,50,1,0
3438.413655450706,STAR,30,31,0,0
3437.03666935386,STAR,30,37,0,1
3436.9676841893174,STAR,30,37,1,0
3436.1905666398484,STAR,30,39,0,0
3434.247184780637,STAR,30,41,0,0
3431.7443988626933,STAR,30,41,1,1
3432.629838668037,STAR,30,43,1,0
3432.17787620486,STAR,30,44,0,0
3424.8305354645113,STAR,30,47,0,1
3028.9076589760484,HISAT2,20,35,0,0
3028.8243373385767,HISAT2,20,36,0,0
3028.8169951459186,HISAT2,20,36,1,1
3022.2880626633732,HISAT2,20,42,0,1
3025.9598215967794,HISAT2,20,42,1,0
3025.001130500301,HISAT2,20,43,1,0
3024.8482447049346,HISAT2,20,44,0,0
3020.785503281041,HISAT2,20,44,1,1
3023.972467104316,HISAT2,20,45,1,0
3018.0220828728884,HISAT2,20,48,0,1
3018.0220828728884,HISAT2,20,49,1,1
3018.0220828728884,HISAT2,20,50,0,1
3029.557666447604,HISAT2,21,31,0,1
3029.519356106789,HISAT2,21,31,1,0
3028.817450816554,HISAT2,21,36,0,1
3022.0822441633236,HISAT2,21,49,0,0
3018.0220828728884,HISAT2,21,50,1,1
3029.5424209104876,HISAT2,22,32,0,1
2866.3150573194334,HISAT2,22,36,1,0
3028.2590751092066,HISAT2,22,40,0,0
3025.9598215967794,HISAT2,22,42,1,0
3025.342198284889,HISAT2,22,43,0,0
3021.280059439122,HISAT2,22,43,0,1
3021.280059439122,HISAT2,22,43,1,1
2898.952079063706,HISAT2,22,46,1,1
3018.0220828728884,HISAT2,22,49,0,1
3022.0822441633236,HISAT2,22,50,0,0
3028.4551621795194,HISAT2,23,30,1,0
3028.487412101296,HISAT2,23,31,1,1
3028.4722231440396,HISAT2,23,32,1,1
3027.844354799146,HISAT2,23,35,0,1
3027.101471687077,HISAT2,23,39,1,1
3027.189915813841,HISAT2,23,40,0,0
3028.0827960395677,HISAT2,24,34,0,1
3027.44766901249,HISAT2,24,38,0,0
3027.189915813841,HISAT2,24,40,0,0
3025.213588211514,HISAT2,24,41,1,0
3019.1873029562885,HISAT2,24,45,1,1
3016.9576723159726,HISAT2,24,48,1,1
3020.6749497614355,HISAT2,24,49,1,0
3028.449363240177,HISAT2,25,31,1,0
3028.470597775819,HISAT2,25,33,1,1
3027.762854755467,HISAT2,25,37,0,0
3016.9576723159726,HISAT2,25,46,1,1
3016.9576723159726,HISAT2,25,48,1,1
3028.069365121596,HISAT2,26,34,0,0
3027.101844411008,HISAT2,26,39,0,1
3027.2644310046776,HISAT2,26,39,1,0
3025.213588211514,HISAT2,26,41,1,0
3024.891876344326,HISAT2,26,42,1,0
3020.214518412374,HISAT2,26,43,0,1
3023.9336254725918,HISAT2,26,43,1,0
3019.720213020708,HISAT2,26,44,1,1
3021.015366931686,HISAT2,26,46,0,0
3016.9576723159726,HISAT2,26,46,0,1
3020.6749497614355,HISAT2,26,46,1,0
3016.9576723159726,HISAT2,26,47,0,1
3021.015366931686,HISAT2,26,48,0,0
3016.9576723159726,HISAT2,26,50,0,1
3028.5036584844866,HISAT2,27,30,1,1
3028.434977552781,HISAT2,27,32,0,0
3027.7483116433305,HISAT2,27,36,0,1
3027.7478564169505,HISAT2,27,36,1,1
3027.762854755467,HISAT2,27,37,0,0
2859.1737486203756,HISAT2,27,38,0,0
3027.260920267741,HISAT2,27,39,0,0
3022.9926102003337,HISAT2,27,41,1,1
3025.232561644036,HISAT2,27,42,0,0
3021.2220561068975,HISAT2,27,42,0,1
3024.891876344326,HISAT2,27,42,1,0
3024.27419324315,HISAT2,27,43,0,0
3020.214518412374,HISAT2,27,43,1,1
3021.015366931686,HISAT2,27,49,0,0
3019.4236647673692,HISAT2,28,33,0,1
3019.423139265628,HISAT2,28,33,1,1
3019.0372214337235,HISAT2,28,34,1,1
3018.7274683356577,HISAT2,28,37,1,0
3018.41323050667,HISAT2,28,38,1,0
3018.119597322873,HISAT2,28,40,1,0
3017.4578637905893,HISAT2,28,40,1,1
3010.713451711651,HISAT2,28,44,1,1
3007.9634390905053,HISAT2,28,48,1,1
3007.9634390905053,HISAT2,28,50,1,1
3019.4236647673692,HISAT2,29,33,0,1
3018.7274683356577,HISAT2,29,37,1,0
3018.41323050667,HISAT2,29,38,1,0
3018.149073396213,HISAT2,29,40,0,0
3014.755515844166,HISAT2,29,44,0,0
3011.6640213506935,HISAT2,29,47,1,0
3012.002922884635,HISAT2,29,50,0,0
3011.6640213506935,HISAT2,29,50,1,0
3019.391204856452,HISAT2,30,31,0,0
3018.675530119667,HISAT2,30,37,0,1
3018.7274683356577,HISAT2,30,37,1,0
3018.219646654125,HISAT2,30,39,0,0
3016.520118074528,HISAT2,30,41,0,0
3013.9696132859276,HISAT2,30,41,1,1
3014.9077202091016,HISAT2,30,43,1,0
3014.755515844166,HISAT2,30,44,0,0
3007.9634390905053,HISAT2,30,47,0,1
